title,author,publisher,description,new_this_week,weeks_on_list,isbn,image_url,scrape_date
I HEARD YOU PAINT HOUSES,Charles Brandt,Steerforth,"A World War II veteran works for a crime boss and comes into contact with the union boss Jimmy Hoffa. The basis of the movie ""The Irishman.""",True,7.0,1586422472,https://storage.googleapis.com/du-prd/books/images/9781586422479.jpg,2019-12-31
MOBITUARIES,Mo Rocca and Jonathan Greenberg,Simon & Schuster,The humorist spotlights frequently unnoticed aspects of deceased celebrities and historical figures.,True,2.0,1501197622,https://storage.googleapis.com/du-prd/books/images/9781501197628.jpg,2019-12-31
NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,Penguin,"Speeches by the Swedish climate activist, including her address to the United Nations.",True,,014313356X,https://storage.googleapis.com/du-prd/books/images/9780143133568.jpg,2019-12-31
TRIGGERED,Donald Trump Jr,Center Street,Forays into politics and views on liberals from the executive vice president of the Trump Organization.,True,7.0,154608603X,https://storage.googleapis.com/du-prd/books/images/9781546086031.jpg,2019-12-31
FINDING CHIKA,Mitch Albom,Harper,Lessons learned by the Alboms when they bring a Haitian orphan with a life-threatening illness into their family.,True,7.0,0062952390,https://storage.googleapis.com/du-prd/books/images/9780062952394.jpg,2019-12-31
THE BOOK OF GUTSY WOMEN,Hillary Rodham Clinton and Chelsea Clinton,Simon & Schuster,Profiles of women from around the world who have blazed trails and challenged the status quo.,True,9.0,1501178415,https://storage.googleapis.com/du-prd/books/images/9781501178412.jpg,2019-12-31
HOW TO,Randall Munroe,Riverhead,The former NASA roboticist dispenses complex and excessive solutions to common problems.,True,3.0,0525537090,https://storage.googleapis.com/du-prd/books/images/9780525537090.jpg,2019-12-31
BLOWOUT,Rachel Maddow,Crown,The MSNBC host argues that the global oil and gas industry has weakened democracies and bolstered authoritarians.,True,12.0,0525575472,https://storage.googleapis.com/du-prd/books/images/9780525575474.jpg,2019-12-31
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,97.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2020-01-07
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,56.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2020-01-07
TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,True,16.0,0316478520,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,2020-01-07
ME,Elton John,Holt,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles.",True,11.0,1250147603,https://storage.googleapis.com/du-prd/books/images/9781250147608.jpg,2020-01-07
SAM HOUSTON AND THE ALAMO AVENGERS,Brian Kilmeade,Sentinel,"The ""Fox & Friends” host gives an account of the battle against the Mexican Army in 1836.",True,8.0,0525540539,https://storage.googleapis.com/du-prd/books/images/9780525540533.jpg,2020-01-07
THE BODY,Bill Bryson,Doubleday,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",True,11.0,0385539304,https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg,2020-01-07
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,87.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2020-01-07
A WARNING,Anonymous,Twelve,A senior official in the Trump administration offers an assessment of the president and makes a moral appeal.,True,6.0,1538718464,https://storage.googleapis.com/du-prd/books/images/9781538718469.jpg,2020-01-07
NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,Penguin,"Speeches by the Swedish climate activist, including her address to the United Nations.",True,2.0,014313356X,https://storage.googleapis.com/du-prd/books/images/9780143133568.jpg,2020-01-07
FINDING CHIKA,Mitch Albom,Harper,Lessons learned by the Alboms when they bring a Haitian orphan with a life-threatening illness into their family.,True,8.0,0062952390,https://storage.googleapis.com/du-prd/books/images/9780062952394.jpg,2020-01-07
BLOWOUT,Rachel Maddow,Crown,The MSNBC host argues that the global oil and gas industry has weakened democracies and bolstered authoritarians.,True,13.0,0525575472,https://storage.googleapis.com/du-prd/books/images/9780525575474.jpg,2020-01-07
TRIGGERED,Donald Trump Jr,Center Street,Forays into politics and views on liberals from the executive vice president of the Trump Organization.,True,8.0,154608603X,https://storage.googleapis.com/du-prd/books/images/9781546086031.jpg,2020-01-07
JUST MERCY,Bryan Stevenson,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,True,18.0,0812994523,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,2020-01-07
CATCH AND KILL,Ronan Farrow,"Little, Brown",The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,True,6.0,0316486639,https://storage.googleapis.com/du-prd/books/images/9780316486637.jpg,2020-01-07
THE BOOK OF GUTSY WOMEN,Hillary Rodham Clinton and Chelsea Clinton,Simon & Schuster,Profiles of women from around the world who have blazed trails and challenged the status quo.,True,10.0,1501178415,https://storage.googleapis.com/du-prd/books/images/9781501178412.jpg,2020-01-07
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,98.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2020-01-14
TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,True,17.0,0316478520,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,2020-01-14
CATCH AND KILL,Ronan Farrow,"Little, Brown",The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,True,7.0,0316486639,https://storage.googleapis.com/du-prd/books/images/9780316486637.jpg,2020-01-14
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,57.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2020-01-14
JUST MERCY,Bryan Stevenson,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,True,19.0,0812994523,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,2020-01-14
WHY WE SLEEP,Matthew Walker,Scribner,A neuroscientist uses recent scientific discoveries to explain the functions of sleep and dreams.,True,,1501144316,https://storage.googleapis.com/du-prd/books/images/9781501144318.jpg,2020-01-14
SAY NOTHING,Patrick Radden Keefe,Doubleday,A look at the conflict in Northern Ireland known as the Troubles.,True,7.0,0385521316,https://storage.googleapis.com/du-prd/books/images/9780385521314.jpg,2020-01-14
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,True,21.0,1328662055,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,2020-01-14
MIDNIGHT IN CHERNOBYL,Adam Higginbotham,Simon & Schuster,"An account of the 1986 disaster at the Chernobyl nuclear power plant, based on hundreds of hours of interviews.",True,3.0,1501134647,https://storage.googleapis.com/du-prd/books/images/9781501134647.jpg,2020-01-14
THE PIONEERS,David McCullough,Simon & Schuster,The Pulitzer Prize-winning historian tells the story of the settling of the Northwest Territory through five main characters.,True,20.0,1501168681,https://storage.googleapis.com/du-prd/books/images/9781501168680.jpg,2020-01-14
ME,Elton John,Holt,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles.",True,12.0,1250147603,https://storage.googleapis.com/du-prd/books/images/9781250147608.jpg,2020-01-14
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",True,5.0,0670785938,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,2020-01-14
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.,True,15.0,1476740186,https://storage.googleapis.com/du-prd/books/images/9781476740188.jpg,2020-01-14
THE BODY,Bill Bryson,Doubleday,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",True,12.0,0385539304,https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg,2020-01-14
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,88.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2020-01-14
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,99.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2020-01-21
JUST MERCY,Bryan Stevenson,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,True,20.0,0812994523,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,2020-01-21
TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,True,18.0,0316478520,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,2020-01-21
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,58.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2020-01-21
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,True,22.0,1328662055,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,2020-01-21
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",True,6.0,0670785938,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,2020-01-21
CATCH AND KILL,Ronan Farrow,"Little, Brown",The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,True,8.0,0316486639,https://storage.googleapis.com/du-prd/books/images/9780316486637.jpg,2020-01-21
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,89.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2020-01-21
WHY WE SLEEP,Matthew Walker,Scribner,A neuroscientist uses recent scientific discoveries to explain the functions of sleep and dreams.,True,2.0,1501144316,https://storage.googleapis.com/du-prd/books/images/9781501144318.jpg,2020-01-21
RANGE,David Epstein,Riverhead,"An argument for how generalists excel more than specialists, especially in complex and unpredictable fields.",True,6.0,0735214484,https://storage.googleapis.com/du-prd/books/images/9780735214484.jpg,2020-01-21
THE BODY,Bill Bryson,Doubleday,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",True,13.0,0385539304,https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg,2020-01-21
SUCCESSFUL AGING,Daniel J. Levitin,Dutton,A neuroscientist suggests using resilience strategies as we grow older.,True,,1524744182,https://storage.googleapis.com/du-prd/books/images/9781524744182.jpg,2020-01-21
BOYS & SEX,Peggy Orenstein,Harper,How young men comprehend cultural forces and navigate sexual and emotional relationships.,True,,0062666975,https://storage.googleapis.com/du-prd/books/images/9780062666970.jpg,2020-01-21
ME,Elton John,Holt,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles.",True,13.0,1250147603,https://storage.googleapis.com/du-prd/books/images/9781250147608.jpg,2020-01-21
SAY NOTHING,Patrick Radden Keefe,Doubleday,A look at the conflict in Northern Ireland known as the Troubles.,True,8.0,0385521316,https://storage.googleapis.com/du-prd/books/images/9780385521314.jpg,2020-01-21
JUST MERCY,Bryan Stevenson,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,True,21.0,0812994523,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,2020-01-28
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,100.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2020-01-28
TIGHTROPE,Nicholas D. Kristof and Sheryl WuDunn,Knopf,The Pulitzer Prize-winning authors examine issues affecting working-class Americans.,True,,0525655085,https://storage.googleapis.com/du-prd/books/images/9780525655084.jpg,2020-01-28
RUNNING AGAINST THE DEVIL,Rick Wilson,Crown Forum,The Republican strategist offers his insights on how to potentially defeat President Trump in the upcoming election.,True,,0593137582,https://storage.googleapis.com/du-prd/books/images/9780593137581.jpg,2020-01-28
TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,True,19.0,0316478520,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,2020-01-28
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,59.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2020-01-28
UNCANNY VALLEY,Anna Wiener,"MCD/Farrar, Straus & Giroux",A millennial’s memoir is interwoven with a look at changes within Silicon Valley.,True,,0374278016,https://storage.googleapis.com/du-prd/books/images/9780374278014.jpg,2020-01-28
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,True,23.0,1328662055,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,2020-01-28
CATCH AND KILL,Ronan Farrow,"Little, Brown",The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,True,9.0,0316486639,https://storage.googleapis.com/du-prd/books/images/9780316486637.jpg,2020-01-28
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",True,7.0,0670785938,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,2020-01-28
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,90.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2020-01-28
WHY WE SLEEP,Matthew Walker,Scribner,A neuroscientist uses recent scientific discoveries to explain the functions of sleep and dreams.,True,3.0,1501144316,https://storage.googleapis.com/du-prd/books/images/9781501144318.jpg,2020-01-28
SAY NOTHING,Patrick Radden Keefe,Doubleday,A look at the conflict in Northern Ireland known as the Troubles.,True,9.0,0385521316,https://storage.googleapis.com/du-prd/books/images/9780385521314.jpg,2020-01-28
AMERICAN OLIGARCHS,Andrea Bernstein,Norton,An investigative journalist traces the proliferation of the Trump and Kushner dynasties,True,,1324001879,https://storage.googleapis.com/du-prd/books/images/9781324001874.jpg,2020-01-28
THE BODY,Bill Bryson,Doubleday,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",True,14.0,0385539304,https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg,2020-01-28
A VERY STABLE GENIUS,Philip Rucker and Carol Leonnig,Penguin Press,The Pulitzer Prize-winning journalists use firsthand accounts to chart patterns of behavior within the Trump administration.,True,,1984877496,https://storage.googleapis.com/du-prd/books/images/9781984877499.jpg,2020-02-04
PROFILES IN CORRUPTION,Peter Schweizer,Harper,The author of “Clinton Cash” gives his evaluations of members of the Democratic Party.,True,,006289790X,https://storage.googleapis.com/du-prd/books/images/9780062897909.jpg,2020-02-04
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,101.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2020-02-04
JUST MERCY,Bryan Stevenson,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,True,22.0,0812994523,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,2020-02-04
TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,True,20.0,0316478520,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,2020-02-04
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,60.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2020-02-04
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,True,24.0,1328662055,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,2020-02-04
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",True,8.0,0670785938,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,2020-02-04
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,91.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2020-02-04
THE AGE OF ENTITLEMENT,Christopher Caldwell,Simon & Schuster,"An assessment of some potential social, cultural and economic causes of our current political fissure.",True,,1501106899,https://storage.googleapis.com/du-prd/books/images/9781501106897.jpg,2020-02-04
WHY WE CAN'T SLEEP,Ada Calhoun,Grove,The cultural and political contexts of the crises that Generation X women face.,True,,0802147852,https://storage.googleapis.com/du-prd/books/images/9780802147851.jpg,2020-02-04
CATCH AND KILL,Ronan Farrow,"Little, Brown",The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,True,10.0,0316486639,https://storage.googleapis.com/du-prd/books/images/9780316486637.jpg,2020-02-04
TIGHTROPE,Nicholas D. Kristof and Sheryl WuDunn,Knopf,The Pulitzer Prize-winning authors examine issues affecting working-class Americans.,True,2.0,0525655085,https://storage.googleapis.com/du-prd/books/images/9780525655084.jpg,2020-02-04
RUNNING AGAINST THE DEVIL,Rick Wilson,Crown Forum,The Republican strategist offers his insights on how to potentially defeat President Trump in the upcoming election.,True,2.0,0593137582,https://storage.googleapis.com/du-prd/books/images/9780593137581.jpg,2020-02-04
WHY WE SLEEP,Matthew Walker,Scribner,A neuroscientist uses recent scientific discoveries to explain the functions of sleep and dreams.,True,4.0,1501144316,https://storage.googleapis.com/du-prd/books/images/9781501144318.jpg,2020-02-04
PROFILES IN CORRUPTION,Peter Schweizer,Harper,The author of “Clinton Cash” gives his evaluations of members of the Democratic Party.,True,2.0,006289790X,https://storage.googleapis.com/du-prd/books/images/9780062897909.jpg,2020-02-11
A VERY STABLE GENIUS,Philip Rucker and Carol Leonnig,Penguin Press,The Pulitzer Prize-winning journalists use firsthand accounts to chart patterns of behavior within the Trump administration.,True,2.0,1984877496,https://storage.googleapis.com/du-prd/books/images/9781984877499.jpg,2020-02-11
THE MAMBA MENTALITY,Kobe Bryant,"Melcher Media/MCD/Farrar, Straus & Giroux",Various skills and techniques used on the court by the Los Angeles Lakers player.,True,4.0,0374201234,https://storage.googleapis.com/du-prd/books/images/9780374201234.jpg,2020-02-11
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,102.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2020-02-11
JUST MERCY,Bryan Stevenson,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,True,23.0,0812994523,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,2020-02-11
WHY WE'RE POLARIZED,Ezra Klein,Avid Reader,The editor at large and co-founder of Vox offers his take on what causes divisions in America.,True,,147670032X,https://storage.googleapis.com/du-prd/books/images/9781476700328.jpg,2020-02-11
TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,True,21.0,0316478520,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,2020-02-11
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,61.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2020-02-11
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,True,25.0,1328662055,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,2020-02-11
ME AND WHITE SUPREMACY,Layla F. Saad,Sourcebooks,Ways to understand and possibly counteract white privilege.,True,,1728209803,https://storage.googleapis.com/du-prd/books/images/9781728209807.jpg,2020-02-11
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",True,9.0,0670785938,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,2020-02-11
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,92.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2020-02-11
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,40.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2020-02-11
THE BODY,Bill Bryson,Doubleday,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",True,15.0,0385539304,https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg,2020-02-11
CATCH AND KILL,Ronan Farrow,"Little, Brown",The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,True,11.0,0316486639,https://storage.googleapis.com/du-prd/books/images/9780316486637.jpg,2020-02-11
OPEN BOOK,Jessica Simpson with Kevin Carr O’Leary,Dey St.,"The singer, actress and fashion designer discloses times of success, trauma and addiction.",True,,0062899961,https://storage.googleapis.com/du-prd/books/images/9780062899965.jpg,2020-02-18
A VERY STABLE GENIUS,Philip Rucker and Carol Leonnig,Penguin Press,The Pulitzer Prize-winning journalists use firsthand accounts to chart patterns of behavior within the Trump administration.,True,3.0,1984877496,https://storage.googleapis.com/du-prd/books/images/9781984877499.jpg,2020-02-18
PROFILES IN CORRUPTION,Peter Schweizer,Harper,The author of “Clinton Cash” gives his evaluations of members of the Democratic Party.,True,3.0,006289790X,https://storage.googleapis.com/du-prd/books/images/9780062897909.jpg,2020-02-18
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,103.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2020-02-18
WHY WE'RE POLARIZED,Ezra Klein,Avid Reader,The editor at large and co-founder of Vox offers his take on what causes divisions in America.,True,2.0,147670032X,https://storage.googleapis.com/du-prd/books/images/9781476700328.jpg,2020-02-18
JUST MERCY,Bryan Stevenson,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,True,24.0,0812994523,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,2020-02-18
THE MAMBA MENTALITY,Kobe Bryant,"Melcher Media/MCD/Farrar, Straus & Giroux",Various skills and techniques used on the court by the Los Angeles Lakers player.,True,5.0,0374201234,https://storage.googleapis.com/du-prd/books/images/9780374201234.jpg,2020-02-18
TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,True,22.0,0316478520,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,2020-02-18
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,62.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2020-02-18
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,True,26.0,1328662055,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,2020-02-18
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",True,10.0,0670785938,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,2020-02-18
WHEN TIME STOPPED,Ariana Neumann,Scribner,The daughter of a man who created a false identity to escape Nazi-occupied Prague uncovers his difficult past.,True,,1982106379,https://storage.googleapis.com/du-prd/books/images/9781982106379.jpg,2020-02-18
THE BIG GOODBYE,Sam Wasson,Flatiron,"The making of the film ""Chinatown"" and shifts in Hollywood during the 1970s.",True,,1250301823,https://storage.googleapis.com/du-prd/books/images/9781250301826.jpg,2020-02-18
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,93.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2020-02-18
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,True,7.0,0807047414,https://storage.googleapis.com/du-prd/books/images/9780807047415.jpg,2020-02-18
OPEN BOOK,Jessica Simpson with Kevin Carr O’Leary,Dey St.,"The singer, actress and fashion designer discloses times of success, trauma and addiction.",True,2.0,0062899961,https://storage.googleapis.com/du-prd/books/images/9780062899965.jpg,2020-02-25
A VERY STABLE GENIUS,Philip Rucker and Carol Leonnig,Penguin Press,The Pulitzer Prize-winning journalists use firsthand accounts to chart patterns of behavior within the Trump administration.,True,4.0,1984877496,https://storage.googleapis.com/du-prd/books/images/9781984877499.jpg,2020-02-25
PROFILES IN CORRUPTION,Peter Schweizer,Harper,The author of “Clinton Cash” gives his evaluations of members of the Democratic Party.,True,4.0,006289790X,https://storage.googleapis.com/du-prd/books/images/9780062897909.jpg,2020-02-25
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,104.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2020-02-25
ON TYRANNY,Timothy Snyder,Tim Duggan,Twenty lessons from the 20th century about the course of tyranny.,True,20.0,0804190119,https://storage.googleapis.com/du-prd/books/images/9780804190114.jpg,2020-02-25
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,63.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2020-02-25
JUST MERCY,Bryan Stevenson,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,True,25.0,0812994523,https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg,2020-02-25
TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,True,23.0,0316478520,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,2020-02-25
WHY WE'RE POLARIZED,Ezra Klein,Avid Reader,The editor at large and co-founder of Vox offers his take on what causes divisions in America.,True,3.0,147670032X,https://storage.googleapis.com/du-prd/books/images/9781476700328.jpg,2020-02-25
THE MAMBA MENTALITY,Kobe Bryant,"Melcher Media/MCD/Farrar, Straus & Giroux",Various skills and techniques used on the court by the Los Angeles Lakers player.,True,6.0,0374201234,https://storage.googleapis.com/du-prd/books/images/9780374201234.jpg,2020-02-25
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,94.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2020-02-25
MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.,True,27.0,1328662055,https://storage.googleapis.com/du-prd/books/images/9781328662057.jpg,2020-02-25
