title,author,publisher,description,new_this_week,weeks_on_list,isbn,image_url,scrape_date
THE FIFTH RISK,Michael Lewis,Norton,"The author of ""The Big Short"" examines how the Trump administration staffs its federal agencies.",True,11.0,1324002646,https://storage.googleapis.com/du-prd/books/images/9781324002642.jpg,2019-01-08
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,Spiegel & Grau,"Technological, political and social issues in the modern era, and the choices individuals might consider in facing them.",True,5.0,0525512179,https://storage.googleapis.com/du-prd/books/images/9780525512172.jpg,2019-01-08
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,8.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-01-15
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,46.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-01-15
THE POINT OF IT ALL,"Charles Krauthammer, edited Daniel Krauthammer",Crown Forum,"A collection of essays, speeches and unpublished writings by the late conservative columnist.",True,5.0,1984825488,https://storage.googleapis.com/du-prd/books/images/9781984825483.jpg,2019-01-15
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,54.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2019-01-15
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,22.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2019-01-15
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.,True,7.0,1476740186,https://storage.googleapis.com/du-prd/books/images/9781476740188.jpg,2019-01-15
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,A look at the postwar manhunt for members of Hitler’s inner circle.,True,13.0,1250165547,https://storage.googleapis.com/du-prd/books/images/9781250165541.jpg,2019-01-15
BRIEF ANSWERS TO THE BIG QUESTIONS,Stephen Hawking,Bantam,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,True,12.0,1984819194,https://storage.googleapis.com/du-prd/books/images/9781984819192.jpg,2019-01-15
THE INNOCENT MAN,John Grisham,Bantam/Dell,Grisham's first nonfiction book concerns a man wrongly sentenced to death.,True,2.0,0345532015,https://storage.googleapis.com/du-prd/books/images/9780440243830.jpg,2019-01-15
LEADERSHIP,Doris Kearns Goodwin,Simon & Schuster,"The challenges that shaped the leadership abilities of four presidents: Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt and Lyndon B. Johnson.",True,16.0,1476795924,https://storage.googleapis.com/du-prd/books/images/9781476795928.jpg,2019-01-15
